Paper,Community of Focus,Code,SubCode,Other,Citation
A147,Blind and/or Visual Impaired,Work Tools Inaccessibility,IDE's related,Discoverability,"Behind this problem are intertwined issues of accessibility and learnability. Because different IDEs use different architectures and have different levels of accessibility compliance, blind developers face a new learning curve each time they use an IDE"
A214,Blind and/or Visual Impaired,Work Tools Inaccessibility,IDE's related,,"While sighted developers are able to quickly develop code, blind developers can face difficulties in programming activities. The problem is that developers rely on the visual presentation of the code displayed within the Integrated Development Environments (IDEs). This programming software, which has features that require sight, presents obstacles for developers with visual impairments."
A79,Blind and/or Visual Impaired,Work Tools Inaccessibility,Visual Interface Development,,"Conceptual issues that participants reported relate to knowing what good visual design is. For example, participants described issues with knowing what colors look good together, what type face to select for different projects, and how to position elements to make a visually appealing interface layout"
A241,Blind and/or Visual Impaired,Work Tools Inaccessibility,IDE's related,,Participants found that IDEs are too complex and geared more towards visual functionality.
A242,Blind and/or Visual Impaired,Work Tools Inaccessibility,IDE's related,Alertability,"Being unable to use these visual cues, programmers with visual impairments must struggle to contend with the complexities of writing source code such as resolving syntax errors and determining nesting levels."
A279,Blind and/or Visual Impaired,Work Tools Inaccessibility,IDE's related,Discoverability,"However, these cues are not always accessible to screen reader users, meaning that individuals who are blind may not be benefiting from the support provided to sighted users."
A79,Blind and/or Visual Impaired,Work Tools Inaccessibility,Visual Interface Development,,"Some interview participants reported having issues with reconciling the relationship and potential differences between the document-object model (DOM) and the way DOM elements are rendered visually. P2 reported that he was able to grasp the associated terms, but not how they work together to create a “nice looking web site"""
A312,Blind and/or Visual Impaired,Work Tools Inaccessibility,IDE's related,Discoverability,"Prior research on blind programmers has found that the information conveyed through visual metaphors in IDEs are often not conveyed by screen readers [2], which creates challenges for blind programmers [9, 18], putting them at a disadvantage when compared to their sighted peers [7, 11]"
A312,Blind and/or Visual Impaired,Work Tools Inaccessibility,IDE's related,Discoverability,"Screen reader users also have access to fewer advanced IDE features for quickly moving through a large codebase, often forcing them to navigate code line-by-line or jump to different locations using “find/search” features [2]"
A61,Blind and/or Visual Impaired,Work Tools Inaccessibility,IDE's related,Glanceability,"Many cues about the structure of source code like indentation and nesting hierarchies are encoded visually, making it difficult for DWVI to comprehend and navigate code with screen readers efficiently"
A312,Blind and/or Visual Impaired,Work Tools Inaccessibility,General Programming Challenges,Navigability,"Blind programmers who are using screen readers or braille displays (which convey information linearly, one line at a time) have difficulty understanding structural relationships quickly [11, 19, 23]."
A380,Blind and/or Visual Impaired,Work Tools Inaccessibility,General Programming Challenges - physical programming,,"Visualizations of sensor state are available in many of today’s physical computing platforms in visual form (e.g., [27, 68]). However, most of the websites and tools developed to program these boards, as well as the tutorials created for them, are partly or wholly inaccessible."
A65,Blind and/or Visual Impaired,Work Tools Inaccessibility,IDE's related,,"In the case of UI development, they complicate the processes of code writing, debugging, and ensuring accessibility with screen readers. They also impact collaboration between programmers with visual impairments and their sighted colleagues since they use different approaches to UI development. [they: Programming Environment]"
A409,Blind and/or Visual Impaired,Work Tools Inaccessibility,General Programming Challenges,Debug,"Another challenge mentioned by blind developers is using debugging tools, as most debugging tools do not work well with screen readers"
A409,Blind and/or Visual Impaired,Work Tools Inaccessibility,General Programming Challenges,Navigability,"In fact, blind developers have more difficulties navigating and understanding the structure of code than their sighted counterparts"
A65,Blind and/or Visual Impaired,Work Tools Inaccessibility,IDE's related,,Emulators provided by major IDEs like Android Studio were often inaccessible with screen readers
A409,Blind and/or Visual Impaired,Work Tools Inaccessibility,General Programming Challenges,Navigability,"Blind developers found it difficult to search through the code to find variables or methods, especially since it requires moving the cursor to a specific line in order to have the screen reader read it aloud"
A61,Blind and/or Visual Impaired,Work Tools Inaccessibility,General Programming Challenges - CLI,,dificulty in consuming unstructured text that often appears as output of commands. [Command Line Interface]
A61,Blind and/or Visual Impaired,Work Tools Inaccessibility,General Programming Challenges - CLI,,"Sometimes CLIs use ASCII characters to decorate tables and other output entities to make them visually appealing. However, our study participants found this experience very distracting and adding to the already difficult task of reading a table"
A61,Blind and/or Visual Impaired,Work Tools Inaccessibility,General Programming Challenges - CLI,Debug/Navigation,"The most frequent issues found were around IDE accessibility, debugging, and code navigation."
A74,Blind and/or Visual Impaired,Work Tools Inaccessibility,General Programming Challenges,Navigability,"blind programmers have been shown to have more difficulties navigating and understanding the structure of code than their sighted counterparts [5, 9, 10"
A74,Blind and/or Visual Impaired,Work Tools Inaccessibility,General Programming Challenges,Glanceability,"Unfortunately, screen readers do not have access to a program’s structure. Tokens are read one at-a-time, and the program is broken up into nothing more than a series of lines"
A65,Blind and/or Visual Impaired,Work Tools Inaccessibility,IDE's related,Navigability,"IDEs and text editors rely heavily on visual aids such as syntax highlighting and indentation to assist in source code navigation, organization, and visual search [13]–[15]. IDEs also organize information visually into panels and windows, which are difficult for programmers with visual impairments to locate quickly relative to sighted programmers."
A65,Blind and/or Visual Impaired,Work Tools Inaccessibility,IDE's related,Geopolitical Issues,"The participants from Iran (P15 and P16) shared that they had to contend with an extra layer of inaccessibility. IDEs offered by Google and Apple, including the devices by the latter, were not usable in Iran because of the government sanctions imposed on the country."
A76,Blind and/or Visual Impaired,Work Tools Inaccessibility,General Programming Challenges - Block,,"The Blockly library itself is not accessible to people with visual impairments, and as a result, all the mainstream BBPEs that rely on Blockly are not accessible"
A79,Blind and/or Visual Impaired,Work Tools Inaccessibility,IDE's related,Alertability,"Although participants reported that they were proficient with screen readers, some (P3, P4, and P6) described performance issues with their assistive tech that made web development tasks like debugging difficult."
A79,Blind and/or Visual Impaired,Work Tools Inaccessibility,Visual Interface Development,,"Some participants (n=3) use the NVDA developer toolkit (DTK) [19] to better understand visual interfaces and the output of their CSS. NVDA DTK allows users to move through elements in the DOM using arrow keys and provides some information about the visual interface (such as their color, font, height, position of top, right, bottom, and left edges, and distance between parent elements). However, “DTK cannot access information such as CSS rules, padding, borders, or z-index” [58]"
A79,Blind and/or Visual Impaired,Work Tools Inaccessibility,Visual Interface Development,,"Applied aspects of visual interface design include working with default HTML visual style and applying CSS. Participants reported issues with getting feedback about default element styles, the way element styles compute in relation to each other, and confirming that their CSS work has impacted visual styling, as intended"
A87,Blind and/or Visual Impaired,Work Tools Inaccessibility,IDE's related,,These heavily visual tools and the intrinsic characteristics of most programming languages impose significant barriers to people with visual impairments working as programmers or software developers
